Recipe_Name,Category_Text,Cuisine_Text,Diet_Text,Categories_Tags,Cuisines_Tags,Diet_Types_Tags,Has_Categories,Has_Cuisines,Has_DietTypes,FAQ_Broken
Cozy Chunky Oatmeal,"Breakfast, Vegan, Plant-Based, Whole Food, Quick& Easy",American,"Vegetarian, Vegan (with plant milk)","breakfast,pre-workout,post-workout,quick-easy",,"vegetarian,vegan,plant-based,whole-food",YES,NO,YES,NO
High Protein Chocolate Chip Pumpkin Muffins,"Dessert, Snack, Breakfast, High-Protein, Snack",American,"Vegetarian, Plant-Based","breakfast,snack,side-dish,dessert,post-workout,pre-workout",,"vegetarian,high-protein",YES,NO,YES,YES
High-Protein Vegetarian Breakfast Bowl,"Breakfast, High-Protein",American,"Vegetarian, High-Protein","breakfast,post-workout",,"high-protein,vegetarian",YES,NO,YES,YES
Two-Ingredient Chocolate Protein Cosmic Muffins,"Dessert, Snack, High-Protein, Vegetarian, Quick & Easy",American,"Vegetarian, High-Protein, Gluten-Free","pre-workout,post-workout,snack,dessert,quick-easy",,"high-protein,vegetarian",YES,NO,YES,YES
High-Protein Chocolate Mug Pie,"Dessert, Snack, Vegetarian, High-Protein",American,"Vegetarian, High-Protein, Gluten-Free","quick-easy,snack,dessert,post-workout",,"vegetarian,high-protein",YES,NO,YES,YES
High-Protein Peanut Butter Chocolate Truffles,"Dessert, Snack, High-Protein, Vegetarian",American,"Vegetarian, High-Protein, Gluten-Free","pre-workout,post-workout,dessert,snack,quick-easy",,"high-protein,vegetarian",YES,NO,YES,YES
Sweet Potato Tapioca Balls,"Snack, Side Dish","Asian, Fusion","Vegetarian, Gluten-Free, Vegan","snack,side-dish","asian,fusion","vegetarian,vegan,whole-food,plant-based",YES,YES,YES,YES
Haunted Bean Salad,"Salad, Side Dish, Lunch, High-Protein","American, Mediterranean","Vegan, Vegetarian, Plant-Based","lunch,salad,side-dish,quick-easy","mediterranean,american","vegetarian,vegan,plant-based,whole-food,high-protein",YES,YES,YES,YES
Bang Bang Brussels Sprouts,"Side Dish, Appetizer","Asian, Fusion","Vegan, Vegetarian, Paleo","side-dish,appetizer,quick-easy","asian,fusion","vegetarian,vegan,plant-based,whole-food",YES,YES,YES,YES
Chickpea Blondies with Aquafaba Whipped Topping,"Dessert, Vegan, Snack",American,"Vegan, Vegetarian, Plant-Based, Gluten-Free","dessert,snack",american,"vegetarian,vegan,plant-based",YES,YES,YES,NO
